recordID,stopID,stopNumber,lat,lon,newPath,imageDescript,personRank,personText,dogRank,dogText,walkRank,walkText,id
"R_1L0xQ5tCBthP53o","F_1hQOGLwzyEvVjP6","Stop #1","43.07156111","-89.43743889","/img/R_1L0xQ5tCBthP53o/IMG_4715.jpeg","Crosswalk","4","Crosswalks help indicate to drivers that a pedestrian would like to cross the road and where they should do it. I chose somewhat positive, because many times the drivers in Madison still do not stop for walkers even if they are in a crosswalk.","4","'My dog can get anxious when I have to stop and wait for traffic, so when the crosswalk helps us cross quicker it helps improve his behavior on the walk. '","5","Any feature that helps people/ dogs cross the road easier improves the dog walking experience and helps increase exercise/ engagement, because the dog is not just standing still waiting to cross the road.","1"
"R_1L0xQ5tCBthP53o","F_vYMuOgglJbOKNjz","Stop #2","43.07142581084736","-89.43798771651613","/img/R_1L0xQ5tCBthP53o/IMG_4716.jpeg","This is Cabot's favorite fire hydrant to check & send pee-mail in the neighborhood.","3","Sniffing and peeing on this fire hydrant brings Cabot joy, but does not really affect my walk either way.","5","Cabot gets happy and stimulated when walking by this fire hydrant and always acts stoked after he gets to check it out.","3","'This particular fire hydrant does not wholistically affect the dog walking experience. Cabot enjoys this hydrant, but there are lots of other places he also like to sniff and pee.  '","2"
"R_1L0xQ5tCBthP53o","F_2YPWXZDIrSoGX8a","Stop #3","43.07146389","-89.43718056","/img/R_1L0xQ5tCBthP53o/IMG_4718.jpeg","Sidewalk","5","'Sidewalks make the walking experience safer by separating us from cars that are driving. '","4","'Sidewalks seem to make my dogs feel calmer/ less aware of cars that are passing allowing them to enjoy other parts of the walk more. '","5","'Sidewalks make dog walking easier and safer, because they separate the walkers from car/ bike traffic that can be dangerous and/or cause a dog anxiety. '","3"
"R_1L0xQ5tCBthP53o","F_1DvYk40BP8h5y8Z","Stop #4","43.07061111","-89.43815556","/img/R_1L0xQ5tCBthP53o/IMG_4719.jpeg","Tree work","2","'This tree work closed the sidewalk cut through that allows me to easily get to quieter roads in the neighborhood. This closure forced us to turn around and backtrack on two busy roads before we could get into our desired neighborhood. '","2","'Having to walk for a longer amount of time of busy roads causes excess stimulation and anxiety for my dog. I also tend to walk faster and give my dog less leash when on these busy roads to try to keep my dogs safe, which seems to make the walk less enjoyable for Cabot. '","1","'Closing major connectors makes it harder to walk around the neighborhood safely. '","4"
"R_1L0xQ5tCBthP53o","F_295q1GBS2uBGoiD","Stop #5","43.069725","-89.43837778","/img/R_1L0xQ5tCBthP53o/IMG_4720.jpeg","Stairs","4","These stairs allow me to easily get up to the park, which allows me a chance to be in nature and escape the city.","4","'Cabot enjoys being in the park, so having a way to quickly enter the park allows us to incorporate the park into most neighborhood walks. '","4","'Having multiple entrances to the park allow dog owners to enjoy these natural areas in their neighborhood. I selected 'somewhat conducive', because these stairs are not maintained in the winter and if they are icy or snowy they can make dog walking dangerous. '","5"
"R_1L0xQ5tCBthP53o","F_ewX9KDQfHCk2N0t","Stop #6","43.06945556","-89.439475","/img/R_1L0xQ5tCBthP53o/IMG_4721.jpeg","Walking path in the park","5","'It is really nice to be able to quickly get to the park and be in nature. It allows me to escape from the city, even just for a moment. '","5","'Cabot loves being on the park trails and enjoying all the smells (and peeing on the plants). '","5","These trails are well-maintained and allow for a safe & enjoyable dog walking experience that allows both pets and owners enjoy nature!","6"
"R_1L0xQ5tCBthP53o","F_3I6Hp2EhSUKLUGm","Stop #7","43.068275","-89.44063611","/img/R_1L0xQ5tCBthP53o/IMG_4724.jpeg","Trash cans","5","'I do love my dogs, but I don't love carrying their poop. Having trash can locations along my our route allows me to deposit the poop and enjoy the walk more. '","3","'Cabot could care less if I have to carry his poop or if I get to throw it away. He is just glad he gets to poop whenever he feels the like it. '","5","'I would guess that most people don't enjoy carrying a bag of poop around and are glad when they see a trash can to deposit it in. Madison is great in the warmer months having multiple trash can locations in every neighborhood, but as soon as it gets cold you are lucky if you can find even one can still available. '","7"
"R_1L0xQ5tCBthP53o","F_22qOqCJ3SWdVzXd","Stop #8","43.06756667","-89.4403","/img/R_1L0xQ5tCBthP53o/IMG_4726.jpeg","Speed Bump","5","Anything that encourages drivers to slow down in neighborhoods are good in my book. The slower drivers are going the more aware they tend to be of their surroundings (and the people/ dogs waking near them).","4","'Fast cars can cause my dog anxiety and can trigger barking/ pulling behavior. '","4","'Slowing drivers down and making them more aware of their surroundings make dog walking safer and can make crossing roads easier. '","8"
"R_1L0xQ5tCBthP53o","F_2QR4Lx1WOwgiyxR","Stop #9","43.06598611","-89.44315278","/img/R_1L0xQ5tCBthP53o/IMG_4727.jpeg","Island with plants/ trees","4","I enjoy personally enjoy anything that increases the amount of plants/ trees on my walk. This island is aesthetically pleasing and makes the road more enjoyable to walk up.","4","'Cabot enjoys peeing on trees and sniffing around. I do not let him do this in people's front yards, so having areas like this allow him a chance to enjoy himself. '","4","'Understandably there are a lot of homeowners that do not want dogs using their front yards to do their business. Areas like this allow my dogs a brief respite from the paved road to sniff and go to the bathroom. '","9"
"R_1L0xQ5tCBthP53o","F_ykJT4TIHYAUuNOx","Stop #10","43.06524167","-89.44138333","/img/R_1L0xQ5tCBthP53o/IMG_4728.jpeg","Fun landscaping around the road sign","5","'One of my favorite parts of neighborhood walks is enjoying the amazing landscaping/ gardens people have in their yards. It truly brings me joy to see flowers and plants everywhere. '","3","'Since I would not allow Cabot to sniff or pee on this (being in someone's yard) the beauty is lost on him. '","4","'The beautiful landscaping inspires me to want to get out more and enjoy my neighborhood, which then benefits my dogs by making sure they get to go for at least one walk a day. '","10"
"R_1L0xQ5tCBthP53o","F_22tfs99g2LJVo5H","Stop #11","43.06265278","-89.44376389","/img/R_1L0xQ5tCBthP53o/IMG_4729.jpeg","Walkway cut throughs between neighborhoods","5","'These walkways between neighborhoods allow walkers to avoid busy roads on their walks and make the walks safer and more enjoyable. '","5","'As stated above keeping my dogs of busy roads helps reduce their anxiety. Also, since so many dogs use these cut throughs there is so much good pee-mail to check. '","5","These pathways between neighborhoods make dog walking safer and more enjoyable.","11"
"R_1L0xQ5tCBthP53o","F_3kvTxnn0uJVR9IE","Stop #12","43.06336944","-89.44559444","/img/R_1L0xQ5tCBthP53o/IMG_4730.jpeg","Bridge over drainage ditch","4","'Having easy access to a neighborhood park (4 entrances) allow people options for entering/ exiting the park that works for their family. For example, we can use a different exit to avoid children or other dogs that may agitate or rile our dogs up. If there was only one way in/out of the park we potentially would avoid it to make sure we did not put ourselves in challenging situations with our dogs. '","4","Having multiple entrances/ exits to parks make it so we are more willing/comfortable to walk our dogs in these areas, which they enjoy (ie. grass, sniffing trees, etc.)","5","Allowing for multiple points of entering/ exiting a park gives dog walkers options to choose the best way to manage their walks to make their pets feel comfortable.","12"
"R_1L0xQ5tCBthP53o","F_2ARQKdiRYHg5KUF","Stop #13","43.06561667","-89.44674722","/img/R_1L0xQ5tCBthP53o/IMG_4731.jpeg","Sidewalk sand","5","'Madison supplies sand to homeowners to help make their driveways & sidewalks have more traction in the winter. As a city they encourage people to use sand instead of salt. As a pet owner this is amazing, because it is impossible to know if the salt people are using is pet friendly & if it is not you run the risk of your pet burning their paws. '","5","'Sand helps make slippery surfaces have more traction, which are safer to walk on. Also sand does not burn their paws. '","5","'Helps make walking in the winter safer and protects our pets paws. '","13"
"R_1L0xQ5tCBthP53o","F_DAwQLF7ADrCLK6t","Stop #14","43.06620833","-89.44872222","/img/R_1L0xQ5tCBthP53o/IMG_4732.jpeg","Trees","5","'Not only does having trees make neighborhoods more aesthetic, but they also help keep the neighborhood roads/ sidewalks cool with their shade in the summer. '","5","'Cabot just loves to pee on trees and he has such a thick coat that anything that shades the sun/ makes things cooler in the hot months make his walk better. '","5","'Great for pee-mail and shade in the hot months. '","14"
"R_1L0xQ5tCBthP53o","F_3qwzJ09wdka7ry4","Stop #15","43.07241426891086","-89.44123537273511","/img/R_1L0xQ5tCBthP53o/IMG_4733.jpeg","Neighborhood park","4","'Parks help me escape the city and enjoy nature. '","5","'These wooded parks allow my dogs the experience to have dirt trails under their feet, smell all the good nature smells, and get a break from cars. '","5","'Wooded parks allow people & dogs to mix up their routines, connect with nature, and escape from the city around them. '","15"